id,full_name,new_eth,eth,FN_eth,Transaction_Count,Tendency,Weighted_Tendency,Archive,Transaction_Size
67,zabde / bel-aḫu-iddin,Aramean,n,b,3,Positive,0.33,Murašȗ,<6
68,Amurru-šēzib / Abī-ul-īde,Aramean,n,b,1,Positive,1,Yahudu,1
69,Adgi-širi-zabdu / bel-erib,Aramean,n,b,1,Positive,1,Murašȗ,1
70,Adrīqam / Ḫarīm,Aramean,n,n,1,Positive,1,Yahudu,1
71,Aḫ-immê / Barīkia,Aramean,n,n,1,Positive,1,Yahudu,1
72,Aḫ-immê / Nabû-ḫâri,Aramean,n,n,1,Positive,1,Yahudu,1
73,aḫiltaḫaʾ / Enlil-eṭir,Aramean,n,b,1,Positive,1,Murašȗ,1
74,Aḫu-idrī / Padā-Yāma,Aramean,n,n,1,Positive,1,Yahudu,1
75,amurru-natannu / quda,Aramean,n,x,1,Positive,1,Murašȗ,1
76,Barīk-Tammeš / Milkâ,Aramean,n,n,2,Positive,1,Yahudu,<6
77,barikiltammeš / Enlil-šumu-iddin,Aramean,n,b,1,Positive,1,Murašȗ,1
78,barikiltammeš / Nergal-iddin,Aramean,n,b,1,Positive,1,Murašȗ,1
79,bel-zabaddu / bel-eṭir,Aramean,n,b,1,Positive,1,Murašȗ,1
80,bel-zabaddu / biṣa,Aramean,n,n,1,Positive,1,Murašȗ,1
81,biṣa / abdia,Aramean,n,n,1,Positive,1,Murašȗ,1
82,biṣa / ḫašdaa,Aramean,n,x,1,Positive,1,Murašȗ,1
83,Bīt-il-aḫ-iddin / Il(u)-dū-nūr,Aramean,n,n,1,Positive,1,Yahudu,1
84,Bīt-il-šar-uṣur / Ḫanapsi,Aramean,n,n,1,Positive,1,Yahudu,1
85,Bīt-il-šar-uṣur / Ileººi-Nabû,Aramean,n,b,1,Positive,1,Yahudu,1
86,Bīt-il-šūru / Ḫuzzâ,Aramean,n,n,1,Positive,1,Yahudu,1
87,burḫad / dadapirna,Aramean,n,n,1,Positive,1,Murašȗ,1
88,dalatani' / artareme,Aramean,n,n,1,Positive,1,Murašȗ,1
89,dalatani' / Ninurta-eṭir,Aramean,n,b,1,Positive,1,Murašȗ,1
90,dalatani' / šapi-kalbu,Aramean,n,b,1,Positive,1,Murašȗ,1
91,Iaʾabi-il / Kalbâ,Aramean,n,x,1,Positive,1,Yahudu,1
92,Iddia / Abī-râm,Aramean,n,n,1,Positive,1,Yahudu,1
93,Iddia / Dūrī-Aia,Aramean,n,b,1,Positive,1,Yahudu,1
94,Idrâ / Ḫannā,Aramean,n,n,1,Positive,1,Yahudu,1
95,il-lintar / iddin-Enlil,Aramean,n,b,1,Positive,1,Murašȗ,1
96,Il-tagibi / Bēl-ab-uṣur,Aramean,n,b,1,Positive,1,Yahudu,1
97,ili-idri' / abbussaxx,Aramean,n,x,1,Positive,1,Murašȗ,1
98,ili-lintar / aššur-kalbu-ibni,Aramean,n,b,1,Positive,1,Murašȗ,1
99,ili-lintar / Nabu-eṭir,Aramean,n,b,1,Positive,1,Murašȗ,1
100,iltammešbarikku / iqiš-ša,Aramean,n,b,1,Positive,1,Murašȗ,1
101,iltammešladinni / aqaru-a,Aramean,n,b,1,Positive,1,Murašȗ,1
102,iltammešlimtar / bel-šunu,Aramean,n,b,1,Positive,1,Murašȗ,1
103,iltammešlinṭar / Enlil-aḫu-iddin,Aramean,n,b,1,Positive,1,Murašȗ,1
104,iltammešlintar / ḫandašanu,Aramean,n,n,3,Positive,1,Murašȗ,<6
105,ìltammešlintár / xxx,Aramean,n,x,1,Positive,1,Murašȗ,1
106,iltammešnuri' / ubar,Aramean,n,b,1,Positive,1,Murašȗ,1
107,kinuna / bel-upaḫḫir,Aramean,n,b,1,Positive,1,Murašȗ,1
108,nanaidri' / kidma',Aramean,n,n,1,Positive,1,Murašȗ,1
109,naṭiru / barik-ili,Aramean,n,n,1,Positive,1,Murašȗ,1
110,šakuḫu / ḫi'xxxx,Aramean,n,x,1,Positive,1,Murašȗ,1
111,Šēʾ-itā / Lū-aḫu,Aramean,n,b,1,Positive,1,Yahudu,1
112,ṣiḫa' / adume,Aramean,n,n,1,Positive,1,Murašȗ,1
113,ṣiḫa' / Ea-bulliṭsu,Aramean,n,b,1,Positive,1,Murašȗ,1
114,Tamgibi / Bēl-ibni,Aramean,n,b,1,Positive,1,Yahudu,1
115,Tammeš-ladīn / Zabdia,Aramean,n,n,1,Positive,1,Yahudu,1
116,zabda / iddina,Aramean,n,x,1,Positive,1,Murašȗ,1
117,Zabdia / Abnia,Aramean,n,x,1,Positive,1,Yahudu,1
118,zabdia / bel-asua,Aramean,n,b,3,Positive,1,Murašȗ,<6
119,zabdia / bel-eṭir,Aramean,n,b,1,Positive,1,Murašȗ,1
120,zabdia / bel-šum-uṣur,Aramean,n,b,1,Positive,1,Murašȗ,1
121,zabdia / bel-x-xki,Aramean,n,x,1,Positive,1,Murašȗ,1
122,zabdia / bel-zeru-ukin,Aramean,n,b,1,Positive,1,Murašȗ,1
123,Zabdia / Nabû-zēr-ibni,Aramean,n,b,1,Positive,1,Yahudu,1
124,zabdia / xx,Aramean,n,x,1,Positive,1,Murašȗ,1
125,zabida / bel-abu-uṣur,Aramean,n,b,1,Positive,1,Murašȗ,1
126,Zabīn / Numainuʾ,Aramean,n,n,1,Positive,1,Murašȗ,1
127,zabina' / kux,Aramean,n,x,1,Positive,1,Murašȗ,1
128,zabinaʾ / iddin-Enlil,Aramean,n,b,1,Positive,1,Murašȗ,1
129,zabini / napen,Aramean,n,n,1,Positive,1,Murašȗ,1
130,zadudia / barikki-ili,Aramean,n,n,1,Positive,1,Murašȗ,1
131,Abdūnu / Abī-râm,Aramean,n,n,1,Negative,-1,Yahudu,1
132,Abi-jaqari / Napišti,Aramean,n,b,1,Negative,-1,Murašȗ,1
133,adda' / atla,Aramean,n,n,1,Negative,-1,Murašȗ,1
134,adda' / bel-abu-uṣur,Aramean,n,b,1,Negative,-1,Murašȗ,1
135,agguba / bel-eṭèru,Aramean,n,b,1,Negative,-1,Murašȗ,1
136,alataniʾ / ḫannia,Aramean,n,n,1,Negative,-1,Murašȗ,1
137,balgaddu / šumu-iddin,Aramean,n,b,1,Negative,-1,Murašȗ,1
138,Barīk-il / Bēl-ušallim,Aramean,n,b,1,Negative,-1,Yahudu,1
139,Barīk-il / Raḫīm-il,Aramean,n,n,1,Negative,-1,Murašȗ,1
140,barik-ili / belet-iddin,Aramean,n,b,1,Negative,-1,Murašȗ,1
141,bariki / ḫudaššadatu,Aramean,n,n,1,Negative,-1,Murašȗ,1
142,bariki-il / aḫḫe-iddin,Aramean,n,x,1,Negative,-1,Murašȗ,1
143,bariki-ili / bel-iddin,Aramean,n,b,2,Negative,-1,Murašȗ,<6
144,barikki-bel / bel-šimananni,Aramean,n,b,1,Negative,-1,Murašȗ,1
145,barikki-bel / bel-šunu,Aramean,n,b,2,Negative,-1,Murašȗ,<6
146,barikki-bel / puḫura,Aramean,n,b,1,Negative,-1,Murašȗ,1
147,barikki-ili / iamma',Aramean,n,n,1,Negative,-1,Murašȗ,1
148,barikkia / agga',Aramean,n,n,1,Negative,-1,Murašȗ,1
149,galalan / luidia,Aramean,n,b,1,Negative,-1,Murašȗ,1
150,ḫadinixx / itti-Šamaš-balaṭu,Aramean,n,b,1,Negative,-1,Murašȗ,1
151,ḫagga / ili-qatari,Aramean,n,n,1,Negative,-1,Murašȗ,1
152,ḫagga / rabbi-ili,Aramean,n,n,1,Negative,-1,Murašȗ,1
153,ḫana'-ili / zabaddu,Aramean,n,n,1,Negative,-1,Murašȗ,1
154,ḫanani' / bel-ittannu,Aramean,n,b,1,Negative,-1,Murašȗ,1
155,Ḫananīʾ / Nīnurta-ēṭir,Aramean,n,b,2,Negative,-1,Murašȗ,<6
156,ḫananna / labaši,Aramean,n,b,1,Negative,-1,Murašȗ,1
157,Ḫananu / Padāʾ-Jāma,Aramean,n,n,1,Negative,-1,Murašȗ,1
158,Ḫannania / Yaʾlû,Aramean,n,n,1,Negative,-1,Yahudu,1
159,ḫannanu / ḫanani'iama,Aramean,n,n,1,Negative,-1,Murašȗ,1
160,ḫannatani' / Ninurta-abu-uṣur,Aramean,n,b,1,Negative,-1,Murašȗ,1
161,ḫannatani' / remut-Ninurta,Aramean,n,b,1,Negative,-1,Murašȗ,1
162,ḫannia / Nabu-idriʾ,Aramean,n,n,1,Negative,-1,Murašȗ,1
163,ḫanunu / Ninurta-lukin,Aramean,n,b,2,Negative,-1,Murašȗ,<6
164,Ḫin-il / Nabû-bān-zēri,Aramean,n,b,1,Negative,-1,Yahudu,1
165,ḫinni' / xxx,Aramean,n,x,1,Negative,-1,Murašȗ,1
166,ḫinnia / arda,Aramean,n,b,2,Negative,-1,Murašȗ,<6
167,ḫinnuni' / aqubu,Aramean,n,n,1,Negative,-1,Murašȗ,1
168,Il-lindar / Nabû-zēr-iddin,Aramean,n,b,1,Negative,-1,Yahudu,1
169,ili-iadin / iadiḫuiama,Aramean,n,n,1,Negative,-1,Murašȗ,1
170,ili-iadini / artaḫšar,Aramean,n,n,1,Negative,-1,Murašȗ,1
171,ili-iadini / iamaxx,Aramean,n,n,1,Negative,-1,Murašȗ,1
172,Kanūnu / Ḫaraqqû,Aramean,n,n,1,Negative,-1,Yahudu,1
173,minaḫḫimu / zabina',Aramean,n,n,2,Negative,-1,Murašȗ,<6
174,miniame / bania,Aramean,n,x,2,Negative,-1,Murašȗ,<6
175,nabari' / šameramu,Aramean,n,n,1,Negative,-1,Murašȗ,1
176,Nabû-aqabi / Nabû-kāṣir,Aramean,n,b,1,Negative,-1,Yahudu,1
177,Nabu-dalaʾ / bel-úšezib,Aramean,n,b,1,Negative,-1,Murašȗ,1
178,Nabû-natan / Nabû-ēṭir,Aramean,n,b,1,Negative,-1,Yahudu,1
179,Nabû-qatarī / Giddâ,Aramean,n,n,1,Negative,-1,Yahudu,1
180,Nabu-ram / Nabu-aḫu-remanni,Aramean,n,b,1,Negative,-1,Murašȗ,1
181,Nabu-rapa' / Bau-iddin,Aramean,n,b,1,Negative,-1,Murašȗ,1
182,naḫmanu / mušezib-bel,Aramean,n,b,1,Negative,-1,Murašȗ,1
183,natin / ṭab-šalam,Aramean,n,n,1,Negative,-1,Murašȗ,1
184,natunu / šilimmu,Aramean,n,n,1,Negative,-1,Murašȗ,1
185,qaddušu / labaši,Aramean,n,b,1,Negative,-1,Murašȗ,1
186,qarḫa' / Nabu-zabad,Aramean,n,n,2,Negative,-1,Murašȗ,<6
187,qunna / bel-asua,Aramean,n,b,1,Negative,-1,Murašȗ,1
188,Šalāmān / Kiṣir-Nabû,Aramean,n,b,1,Negative,-1,Yahudu,1
189,Šalāmān / Rapā-Yāma,Aramean,n,n,2,Negative,-1,Yahudu,<6
190,šamma / kidinxx,Aramean,n,b,1,Negative,-1,Murašȗ,1
191,satturu / šabbataa,Aramean,n,n,2,Negative,-1,Murašȗ,<6
192,xdala' / Ninurta-gamil,Aramean,n,b,1,Negative,-1,Murašȗ,1
193,xxdala'a / šabbata,Aramean,n,n,1,Negative,-1,Murašȗ,1
194,Zimmâ / Nabû-ittannu,Aramean,n,b,1,Negative,-1,Yahudu,1
195,Yadīʾ-il / Pān-Nabû-lūmur,Aramean,n,b,6,Negative,-0.67,Yahudu,<30
196,ili-barakku / ḫarimma',Aramean,n,n,3,Negative,-0.33,Murašȗ,<6
197,Šalamānu / Ūrāza',Aramean,n,n,3,Negative,-0.33,Murašȗ,<6
198,Milkâ(nu) / Šalāmān,Aramean,n,n,9,Negative,-0.11,Yahudu,<30
199,Aḫīqam / Rīmūt,Aramean,n,b,3,Positive,0.33,Yahudu,<6
200,ḫanun / bel-kaṣir,Aramean,n,x,3,Positive,0.33,Murašȗ,<6
201,Aḫīqam / Rapā-Yāma,Aramean,n,n,17,Positive,0.41,Yahudu,<30
202,miniamen / bel-abu-uṣur,Aramean,n,b,7,Positive,0.71,Murašȗ,<30
203,Barīki / IqīšaNegative,Aramean,n,b,1,Positive,1,Murašȗ,1
204,Abi-rām / Bēl-ab-uṣur`,Aramean,n,b,1,Positive,1,Murašȗ,1
205,Adad-râm / Adad-šūru,Aramean,n,n,1,Positive,1,Yahudu,1
206,addurammu / nabundu,Aramean,n,n,2,Positive,1,Murašȗ,<6
207,aḫmana' / xxx,Aramean,n,x,1,Positive,1,Murašȗ,1
208,aḫu-ialidu / aḫu-šúnu,Aramean,n,b,2,Positive,1,Murašȗ,<6
209,Barīk-Adad / Nabû-ēṭir,Aramean,n,b,1,Positive,1,Yahudu,1
210,barik-Enlil / Ninurta-erib,Aramean,n,b,1,Positive,1,Murašȗ,1
211,Barīk-il / Ḫīṭûa,Aramean,n,b,1,Positive,1,Yahudu,1
212,Barīk-il / Ilteri-nūr,Aramean,n,n,1,Positive,1,Yahudu,1
213,Barīk-il / Šamaš-ibni,Aramean,n,b,1,Positive,1,Yahudu,1
214,Barīk-il / Ṭūb-šalam,Aramean,n,n,1,Positive,1,Yahudu,1
215,bariki / adiba',Aramean,n,n,2,Positive,1,Murašȗ,<6
216,bariki / zabida',Aramean,n,x,2,Positive,1,Murašȗ,<6
217,barikia / parnuš,Aramean,n,n,2,Positive,1,Murašȗ,<6
218,barikki / makkur-uṣur,Aramean,n,b,1,Positive,1,Murašȗ,1
219,barikki-bel / xxx,Aramean,n,x,1,Positive,1,Murašȗ,1
220,barikki-ili / atkalla,Aramean,n,b,1,Positive,1,Murašȗ,1
221,fŠalammû daughter of Ḫannan,Aramean,n,n,1,Positive,1,Yahudu,1
222,Gaḫalā / Adad-ibni,Aramean,n,b,1,Positive,1,Yahudu,1
223,ḫagga / ìltammešbarakki,Aramean,n,n,1,Positive,1,Murašȗ,1
224,Ḫaggâ / Mataniā,Aramean,n,n,1,Positive,1,Yahudu,1
225,Ḫaggâ / Natan-Yāma,Aramean,n,n,1,Positive,1,Yahudu,1
226,Ḫanan / Azar-Yāma,Aramean,n,n,1,Positive,1,Yahudu,1
227,Ḫanan / Ḫabbuḫru,Aramean,n,x,2,Positive,1,Yahudu,<6
228,ḫanana / minaḫḫimmu,Aramean,n,n,1,Positive,1,Murašȗ,1
229,Ḫannā / Ḫinman,Aramean,n,n,1,Positive,1,Yahudu,1
230,ḫannani' / barikki-il,Aramean,n,n,1,Positive,1,Murašȗ,1
231,ḫannani' / bel-šunu,Aramean,n,b,1,Positive,1,Murašȗ,1
232,ḫannani' / iddin-Nabu,Aramean,n,b,1,Positive,1,Murašȗ,1
233,ḫannani' / ṭab-ia,Aramean,n,x,1,Positive,1,Murašȗ,1
234,ḫannatani' / Nabu-ina-kari-lamur,Aramean,n,b,1,Positive,1,Murašȗ,1
235,Ḫannija / Ninurta-aḫ-iddīn,Aramean,n,b,1,Positive,1,Murašȗ,1
236,ḫanun / bel-šunu,Aramean,n,b,1,Positive,1,Murašȗ,1
237,Ḫanūnu / Bīnê,Aramean,n,n,1,Positive,1,Yahudu,1
238,ḫinni'-bel / dalatani',Aramean,n,n,1,Positive,1,Murašȗ,1
239,Kinūnāia / Bīt-il-{AG}-DÙ,Aramean,n,n,1,Positive,1,Yahudu,1
240,labani' / raḫim-il,Aramean,n,n,5,Positive,1,Murašȗ,<6
241,Nabu-ḫaqabi / xxx,Aramean,n,x,1,Positive,1,Murašȗ,1
242,Nabû-natan / Iššar-tarībi,Aramean,n,b,1,Positive,1,Yahudu,1
243,Nabu-ram / Nabu-ušezib,Aramean,n,b,1,Positive,1,Murašȗ,1
244,Nabu-rammu / Ululu-a,Aramean,n,b,1,Positive,1,Murašȗ,1
245,Naḫum(mu) / Yāḫû-azar,Aramean,n,n,1,Positive,1,Yahudu,1
246,Šalāmān / Bušea,Aramean,n,n,2,Positive,1,Yahudu,<6
247,Šamaš-nadari / bel-eṭir,Aramean,n,b,1,Positive,1,Murašȗ,1
248,šara'-ili / bel-eṭir,Aramean,n,b,1,Positive,1,Murašȗ,1
249,šáraʾ-ili / md.UTU.x.MU,Aramean,n,b,1,Positive,1,Murašȗ,1
250,Yamušu / Ḫarīm,Aramean,n,n,1,Positive,1,Yahudu,1
251,iadaḫu-Nabu / barikiltammeš,Aramean,n,n,1,Positive,1,Murašȗ,1
252,iadaḫu-Nabu / Nabu-ḫaqabi,Aramean,n,n,1,Positive,1,Murašȗ,1
253,abda' / Sin-iddin,Aramean,n,b,1,Negative,-1,Murašȗ,1
254,abdaʾ / Sin-iddin,Aramean,n,b,1,Negative,-1,Murašȗ,1
255,Abdi-Ištar / Kī-Nabû,Aramean,n,x,1,Negative,-1,Yahudu,1
256,Aḫu-lakūn / Kiṣir-Nabû,Aramean,n,b,1,Negative,-1,Yahudu,1
257,biruqa' / šara'-ili,Aramean,n,n,1,Negative,-1,Murašȗ,1
258,biruqaʾ / kulluki-ili,Aramean,n,x,1,Negative,-1,Murašȗ,1
259,ḫazzia / bel-eṭir,Aramean,n,b,1,Negative,-1,Murašȗ,1
260,raḫim / xxx,Aramean,n,x,1,Negative,-1,Murašȗ,1
261,raḫim-ili / bulluṭa,Aramean,n,b,1,Negative,-1,Murašȗ,1
262,raḫim-ili / riuxx,Aramean,n,x,1,Negative,-1,Murašȗ,1
263,raḫim-il / ribat,Aramean,n,b,6,Negative,-0.67,Murašȗ,<30
264,aqubu / zabdia,Aramean,n,n,3,Negative,-0.33,Murašȗ,<6
265,rabbi-ili / Nabu-zeru-iddin,Aramean,n,b,6,Negative,-0.33,Murašȗ,<30
266,raḫim / bel-abu-uṣur,Aramean,n,b,3,Positive,0.33,Murašȗ,<6
267,Abdā / Aḫu-nūru,Aramean,n,x,1,Positive,1,Yahudu,1
268,abda' / anum-eṭir,Aramean,n,b,1,Positive,1,Murašȗ,1
269,Abu-lakūn / Adad-šar-uṣur,Aramean,n,b,1,Positive,1,Yahudu,1
270,Abu-lakūn / Ilamri-abu,Aramean,n,n,1,Positive,1,Yahudu,1
271,Aqqubu / Šamaš-iddin,Aramean,n,b,1,Positive,1,Yahudu,1
272,aquba / dabdama',Aramean,n,x,2,Positive,1,Murašȗ,<6
273,ḫisdanu / ḫarmaḫi',Aramean,n,n,1,Positive,1,Murašȗ,1
274,ili-gabri / natan-ili,Aramean,n,n,1,Positive,1,Murašȗ,1
275,Qaṭṭin / Ṭābia,Aramean,n,x,2,Positive,1,Yahudu,<6
276,rabdi-ili / Nabu-zeru-iddin,Aramean,n,b,1,Positive,1,Murašȗ,1
277,raḫim / banaiama,Aramean,n,n,1,Positive,1,Murašȗ,1
278,raḫim / barikki-il,Aramean,n,n,1,Positive,1,Murašȗ,1
279,Aqūbu / Hāranna,Aramean,n,n,1,Positive,1,Murašȗ,1
280,Adad-šar-uṣur / Abdi-ḫinni,Babylonian,b,n,1,Negative,-1,Yahudu,1
281,Adad-šar-uṣur / Šamaš-aḫ-iddin,Babylonian,b,b,1,Negative,-1,Yahudu,1
282,Adad-šum-iddin / Adad-nātin,Babylonian,b,n,1,Negative,-1,Yahudu,1
283,Adad-ušēzib / Adad-tattannu-uṣur,Babylonian,b,b,1,Negative,-1,Yahudu,1
284,Aḫḫē-iddin / Arad-Nabû,Babylonian,b,b,1,Negative,-1,Yahudu,1
285,aḫḫe-utir / iqiš-ša,Babylonian,b,b,1,Negative,-1,Murašȗ,1
286,aḫu-eršu / Ninurta-naṣir,Babylonian,b,b,1,Negative,-1,Murašȗ,1
287,aḫu-iddin-Marduk / bel-abu-uṣur,Babylonian,b,b,1,Negative,-1,Murašȗ,1
288,aḫu-ittannu / bel-iddin,Babylonian,b,b,1,Negative,-1,Murašȗ,1
289,aḫu-liti' / nana-iddin,Babylonian,b,x,1,Negative,-1,Murašȗ,1
290,aḫu-šunu / arad-Ninurta,Babylonian,b,b,1,Negative,-1,Murašȗ,1
291,aḫu-šunu / gamil-bel,Babylonian,b,b,1,Negative,-1,Murašȗ,1
292,aḫu-šúnu / gamillu,Babylonian,b,b,1,Negative,-1,Murašȗ,1
293,aḫu-šunu / libluṭ,Babylonian,b,b,1,Negative,-1,Murašȗ,1
294,aḫu-šunu / murašu,Babylonian,b,b,1,Negative,-1,Murašȗ,1
295,aḫu-šunu / Nabu-nadin-aḫu,Babylonian,b,b,1,Negative,-1,Murašȗ,1
296,aḫu-šunu / qibit-Enlil,Babylonian,b,b,1,Negative,-1,Murašȗ,1
297,aḫu-šunu / ṣill-Ninurta,Babylonian,b,b,1,Negative,-1,Murašȗ,1
298,Aḫūšunu / Bēl-uballiṭ//Basia,Babylonian,b,b,1,Negative,-1,Yahudu,1
299,Aḫušunu / Ililaja`,Babylonian,b,x,1,Negative,-1,Murašȗ,1
300,amelia / Ninurta-aḫu-iddin,Babylonian,b,b,1,Negative,-1,Murašȗ,1
301,Amurru-šar-uṣur / Nabû-balāssu-iqbi,Babylonian,b,b,1,Negative,-1,Yahudu,1
302,amurru-upaḫḫir / ribat,Babylonian,b,b,1,Negative,-1,Murašȗ,1
303,amurru-ušezib / bel-ḫatin,Babylonian,b,b,1,Negative,-1,Murašȗ,1
304,Amurru-zēr-ibni / Rīmūt,Babylonian,b,b,1,Negative,-1,Yahudu,1
305,Ana-Nabû-milki / Amurru-anā,Babylonian,b,n,1,Negative,-1,Yahudu,1
306,Anu-ab-uṣur / Zēria,Babylonian,b,b,1,Negative,-1,Yahudu,1
307,Anu-aḫḫē-bulliṭ / Kalbâ,Babylonian,b,x,1,Negative,-1,Yahudu,1
308,anu-eṭir / mušibši,Babylonian,b,b,1,Negative,-1,Murašȗ,1
309,apla / arad-Ninurta,Babylonian,b,b,1,Negative,-1,Murašȗ,1
310,apla / bazuzu,Babylonian,b,x,1,Negative,-1,Murašȗ,1
